"Country","alpha.3","country.code","region","sub.region","Year","Total"
"Thailand","THA","764","Asia","South-eastern Asia",2018,69428000
"Thailand","THA","764","Asia","South-eastern Asia",2019,69626000
"Timor","TLS","626","Asia","South-eastern Asia",2018,1268000
"Timor","TLS","626","Asia","South-eastern Asia",2019,1293000
"Togo","TGO","768","Africa","Sub-Saharan Africa",2018,7889000
"Togo","TGO","768","Africa","Sub-Saharan Africa",2019,8082000
"Tokelau","TKL","772","Oceania","Polynesia",2018,1000
"Tokelau","TKL","772","Oceania","Polynesia",2019,1000
"Tonga","TON","776","Oceania","Polynesia",2018,103000
"Tonga","TON","776","Oceania","Polynesia",2019,104000
"Trinidad and Tobago","TTO","780","Americas","Latin America and the Caribbean",2018,1390000
"Trinidad and Tobago","TTO","780","Americas","Latin America and the Caribbean",2019,1395000
"Tunisia","TUN","788","Africa","Northern Africa",2018,11565000
"Tunisia","TUN","788","Africa","Northern Africa",2019,11695000
"Turkey","TUR","792","Asia","Western Asia",2018,82340000
"Turkey","TUR","792","Asia","Western Asia",2019,83430000
"Turkmenistan","TKM","795","Asia","Central Asia",2018,5851000
"Turkmenistan","TKM","795","Asia","Central Asia",2019,5942000
"Turks and Caicos Islands","TCA","796","Americas","Latin America and the Caribbean",2018,38000
"Turks and Caicos Islands","TCA","796","Americas","Latin America and the Caribbean",2019,38000
"Tuvalu","TUV","798","Oceania","Polynesia",2018,12000
"Tuvalu","TUV","798","Oceania","Polynesia",2019,12000
"Uganda","UGA","800","Africa","Sub-Saharan Africa",2018,42729000
"Uganda","UGA","800","Africa","Sub-Saharan Africa",2019,44270000
"Ukraine","UKR","804","Europe","Eastern Europe",2018,44246000
"Ukraine","UKR","804","Europe","Eastern Europe",2019,43994000
"United Arab Emirates","ARE","784","Asia","Western Asia",2018,9631000
"United Arab Emirates","ARE","784","Asia","Western Asia",2019,9771000
"United Kingdom","GBR","826","Europe","Northern Europe",2018,67142000
"United Kingdom","GBR","826","Europe","Northern Europe",2019,67530000
"United States","USA","840","Americas","Northern America",2018,327096000
"United States","USA","840","Americas","Northern America",2019,329064992
"United States Virgin Islands","VIR","850","Americas","Latin America and the Caribbean",2018,105000
"United States Virgin Islands","VIR","850","Americas","Latin America and the Caribbean",2019,105000
"Uruguay","URY","858","Americas","Latin America and the Caribbean",2018,3449000
"Uruguay","URY","858","Americas","Latin America and the Caribbean",2019,3462000
"Uzbekistan","UZB","860","Asia","Central Asia",2018,32476000
"Uzbekistan","UZB","860","Asia","Central Asia",2019,32982000
"Vanuatu","VUT","548","Oceania","Melanesia",2018,293000
"Vanuatu","VUT","548","Oceania","Melanesia",2019,3e+05
"Vatican","VAT","336","Europe","Southern Europe",2018,1000
"Vatican","VAT","336","Europe","Southern Europe",2019,1000
"Venezuela","VEN","862","Americas","Latin America and the Caribbean",2018,28887000
"Venezuela","VEN","862","Americas","Latin America and the Caribbean",2019,28516000
"Vietnam","VNM","704","Asia","South-eastern Asia",2018,95546000
"Vietnam","VNM","704","Asia","South-eastern Asia",2019,96462000
"Wallis and Futuna","WLF","876","Oceania","Polynesia",2018,12000
"Wallis and Futuna","WLF","876","Oceania","Polynesia",2019,11000
"Western Sahara","ESH","732","Africa","Northern Africa",2018,567000
"Western Sahara","ESH","732","Africa","Northern Africa",2019,582000
"World","OWID_WRL",NA,NA,NA,2018,7631091200
"World","OWID_WRL",NA,NA,NA,2019,7713467904
"Yemen","YEM","887","Asia","Western Asia",2018,28499000
"Yemen","YEM","887","Asia","Western Asia",2019,29162000
"Zambia","ZMB","894","Africa","Sub-Saharan Africa",2018,17352000
"Zambia","ZMB","894","Africa","Sub-Saharan Africa",2019,17861000
"Zimbabwe","ZWE","716","Africa","Sub-Saharan Africa",2018,14439000
"Zimbabwe","ZWE","716","Africa","Sub-Saharan Africa",2019,14645000
